trial,variable,effectSize,ratio,alpha,ssStatus,ssAlert,testStores,numTeststores,metric,startDate,endDate,numWeeks,hierarchy,numCategories,numProducts,numProductSelected,extraFeatureShape,extraFeatureFiltered,dataInsufficient,multiCorr,corr,extraDuplicateCols,modelData.shape,features,gain,pvalues,rSquared,rSquaredAdj,mape,mdape,analyseFeatureStatus,afAlert,selectedFeatures,storesWithSettings,numStoresWithSettings,nControls,excludeControls,excludeControls.len,identifyControlStatus,icAlert,prePeriod,postPeriod,metrics,pValue,delta,liftAnalysisStatus,laAlert
wqeqweqw,Gross Sales,10.0,2.0,9.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gokul1234,Gross Sales,10.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrwrwerw,Gross Sales,40.0,1.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3sdsdfsdk,Net Sales,10.0,1.0,4.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfsdf,Net Sales,10.0,1.0,4.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liretiert,Net Sales,11.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wwerwe,Net Sales,11.0,1.0,4.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wr,Net Sales,11.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdkgkfdk,Net Sales,11.0,1.0,4.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wqrwrwergfdg,Net Sales,11.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wqewqe,Net Sales,10.0,3.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wqewqeqw,Net Sales,10.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfjdgjfdg,Net Sales,10.0,3.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wwqe,Net Sales,10.0,3.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_100,,,,,,,"['3', '4', '6', '10', '18', '24', '34', '37', '40', '42']",10.0,1.0,2019-02-26 00:00:00,2019-12-26 00:00:00,43.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,"[10, 121]","[['Age_Group1'], ['Eductation_Level_2'], ['item 1100 Net Sales'], ['Birthplace_country_13'], ['percentage_visits_age_group_1'], ['percentage_visits_age_group_6'], ['Birthplace_country_11']]","[[0.337], [0.2585], [0.1644], [0.1123], [0.0637], [0.027], [0.0128]]",,0.9999728592757832,0.9998778667410247,0.1085323690063725,0.04524433261511788,Success,,"['Age_Group1', 'Eductation_Level_2', 'item 1100 Net Sales', 'Birthplace_country_13', 'percentage_visits_age_group_1', 'percentage_visits_age_group_6', 'Birthplace_country_11']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-2-8', 'endDate': '2019-4-3'}","{'startDate': '2019-8-15', 'endDate': '2019-12-20'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.3873366488646418 0.19325841050683673 0.9702903038731375],[-338.7123372642909 679.3688033117218 6.739252484446507],Success,
lknkgnkfdng,Net Sales,10.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vbbnmcb,Gross Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jvbbfgdkg,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,Net Sales,11.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfdgbmdng,Net Sales,11.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
