testStores,state_test,store_type_test,locality_description_test,Eductation_Level_3_test,Birthplace_country_17_test,percentage_visits_age_group_2_test,Birthplace_country_22_test,Children_age_group_2_test,Children_age_group_1_test,Age_Group9_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,Eductation_Level_3_control,Birthplace_country_17_control,percentage_visits_age_group_2_control,Birthplace_country_22_control,Children_age_group_2_control,Children_age_group_1_control,Age_Group9_control,storeSales_control,similarity,salesCorrelation,rank
59,state_2,store_type_3,locality_2,5.6175,0.9135,23.31,0.5565000000000001,9.4815,11.0985,1.9845,40755.31195652175,717,state_2,store_type_2,locality_2,5.607,0.903,23.2785,0.5565000000000001,9.492,11.0985,2.0265,64201.7595652174,1.0,0.61,1
790,state_2,store_type_3,locality_2,5.607,0.9135,23.1735,0.546,9.513000000000002,11.1195,2.0685,38592.16326086957,717,state_2,store_type_2,locality_2,5.607,0.903,23.2785,0.5565000000000001,9.492,11.0985,2.0265,64201.7595652174,1.0,0.54,1
59,state_2,store_type_3,locality_2,5.6175,0.9135,23.31,0.5565000000000001,9.4815,11.0985,1.9845,40755.31195652175,602,state_2,store_type_2,locality_2,5.5965000000000025,0.8925,23.4045,0.5565000000000001,9.4605,11.0775,1.9845,55106.29847826087,1.0,0.57,2
117,state_2,store_type_3,locality_1,4.956,0.8400000000000001,16.2645,1.281,15.771,14.3115,3.2235,26060.711956521733,222,state_1,store_type_3,locality_1,4.5360000000000005,0.8714999999999999,16.642500000000002,1.3755000000000002,15.708000000000002,14.5425,4.1789999999999985,40334.80586956522,0.96,0.25,1
117,state_2,store_type_3,locality_1,4.956,0.8400000000000001,16.2645,1.281,15.771,14.3115,3.2235,26060.711956521733,264,state_1,store_type_3,locality_1,4.5045,0.9135,16.7895,1.3755000000000002,15.687,14.532,4.189500000000002,45935.9743478261,0.96,0.71,2
188,state_2,store_type_3,locality_1,5.3865,0.6509999999999999,22.75350000000001,0.4935,9.429,11.2245,2.541,20210.158043478263,660,state_2,store_type_1,locality_1,5.397,0.63,22.826999999999998,0.4935,9.45,11.1405,2.2680000000000002,60726.33521739132,0.99,0.32,1
188,state_2,store_type_3,locality_1,5.3865,0.6509999999999999,22.75350000000001,0.4935,9.429,11.2245,2.541,20210.158043478263,907,state_2,store_type_2,locality_1,5.2815,0.7035000000000001,22.806,0.462,10.4055,11.172,2.5515000000000003,43623.53565217391,0.98,0.16,2
243,state_2,store_type_3,locality_1,4.473,0.903,15.078,0.525,14.668500000000002,13.7025,4.966500000000001,21532.97782608695,524,state_2,store_type_1,locality_1,4.578,0.8400000000000001,15.708000000000002,0.4935,14.5635,13.4925,5.1030000000000015,54177.90760869566,0.98,-0.03,1
332,state_2,store_type_3,locality_1,4.8405000000000005,2.2575,14.668500000000002,0.4095,14.300999999999998,13.177500000000002,5.313,42539.37608695652,524,state_2,store_type_1,locality_1,4.578,0.8400000000000001,15.708000000000002,0.4935,14.5635,13.4925,5.1030000000000015,54177.90760869566,0.92,0.11,2
243,state_2,store_type_3,locality_1,4.473,0.903,15.078,0.525,14.668500000000002,13.7025,4.966500000000001,21532.97782608695,819,state_2,store_type_1,locality_1,4.4625,0.8714999999999999,15.6555,0.6405,14.196,13.9545,5.061000000000001,61396.188478260876,0.98,-0.16,2
