testStores,state_test,store_type_test,locality_description_test,dvSalesSum_trend_test,GCs_Total_trend_test,TotNet_trend_test,Birthplace_percentPeople_Cou_0002_test,Birthplace_percentPeople_Country__test,Age_numPeople_median_10km_test,Birthplace_percentPeople_Gre_0003_test,Birthplace_percentPeople_Canada_P_test,Age_percentPeople_0001_test,Age_percentPeople_0018_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,dvSalesSum_trend_control,GCs_Total_trend_control,TotNet_trend_control,Birthplace_percentPeople_Cou_0002_control,Birthplace_percentPeople_Country__control,Age_numPeople_median_10km_control,Birthplace_percentPeople_Gre_0003_control,Birthplace_percentPeople_Canada_P_control,Age_percentPeople_0001_control,Age_percentPeople_0018_control,storeSales_control,similarity,salesCorrelation,rank
9,state_4,store_type_1,locality_3,0.07258673409469596,-0.039494181251718115,-0.08930054672659693,12.81,12.663,37.212,0.021,0.1155,15.0465,14.9625,183177.02406250002,176,state_5,store_type_1,locality_3,0.010844872762080906,-0.0011244760963641245,-0.0506393125762552,13.1565,12.075,42.672,0.0,0.1365,13.4715,15.1725,86008.89546875002,0.89,-0.31,1
9,state_4,store_type_1,locality_3,0.07258673409469596,-0.039494181251718115,-0.08930054672659693,12.81,12.663,37.212,0.021,0.1155,15.0465,14.9625,183177.02406250002,138,state_2,store_type_1,locality_3,0.0626115341393545,0.01648111332007951,-0.02629174270078249,12.7365,12.726,41.685,0.0,0.0105,13.8915,14.133,141739.14890625002,0.87,-0.07,2
15,state_4,store_type_1,locality_1,-0.06178154500527855,-0.07089846834043889,-0.1396507029520665,6.9090000000000025,6.593999999999999,54.88749000000001,0.0,0.042,10.184895,13.524,87291.25859374994,18,state_1,store_type_1,locality_3,0.057940832495956725,-0.057178569677956974,-0.138216274098925,7.780500000000001,8.137500000000001,54.7575,0.042,0.042,10.185,15.740759999999998,104025.5325,0.89,0.9,1
15,state_4,store_type_1,locality_1,-0.06178154500527855,-0.07089846834043889,-0.1396507029520665,6.9090000000000025,6.593999999999999,54.88749000000001,0.0,0.042,10.184895,13.524,87291.25859374994,5,state_1,store_type_1,locality_3,-0.061280770973736735,-0.08688245315161837,-0.14862345449838876,7.896,7.287000000000001,49.791,0.0,0.1575,11.5395,14.133,170700.43687500004,0.89,0.86,2
16,state_4,store_type_1,locality_1,-0.02986147006182427,-0.07302546152543342,-0.13076427704839455,5.397,5.932500000000001,42.462,1.0815,0.126,11.5185,13.565999999999999,81568.8025,117,state_2,store_type_3,locality_1,-0.022352025242934226,-0.020736081765023732,-0.059647834578780874,5.7855,6.2265,39.501,0.8400000000000001,0.063,13.261500000000002,13.040999999999999,36702.80671875,0.87,0.34,1
16,state_4,store_type_1,locality_1,-0.02986147006182427,-0.07302546152543342,-0.13076427704839455,5.397,5.932500000000001,42.462,1.0815,0.126,11.5185,13.565999999999999,81568.8025,95,state_1,store_type_3,locality_1,-0.1260921616951859,-0.12352661972945167,-0.14692483262537048,7.0035,6.216,42.4095,0.17850000000000002,0.052500000000000005,12.6315,13.6395,45129.3578125,0.86,0.6,2
84,state_4,store_type_1,locality_1,0.057726564025110776,0.02741069725620537,-0.040676769391425616,7.077000000000001,5.9535,39.6795,0.3675,0.052500000000000005,12.642000000000001,13.460999999999999,98865.0646875,154,state_4,store_type_3,locality_1,-0.028704292176608307,5.859947260478116e-05,-0.053098585882003,6.2055000000000025,5.974500000000001,39.51150000000001,0.28350000000000003,0.052500000000000005,12.568500000000002,13.450500000000002,31964.619218750002,0.95,0.48,1
84,state_4,store_type_1,locality_1,0.057726564025110776,0.02741069725620537,-0.040676769391425616,7.077000000000001,5.9535,39.6795,0.3675,0.052500000000000005,12.642000000000001,13.460999999999999,98865.0646875,94,state_2,store_type_1,locality_1,0.046308517268363485,0.011423843693815659,-0.029913190234588938,4.0425,5.4495000000000005,40.361999999999995,0.5355000000000001,0.052500000000000005,12.8625,13.251,146282.60140625003,0.94,0.29,2
86,state_4,store_type_1,locality_1,0.07538251208588664,0.0383593132677249,-0.02960662770350642,6.4155000000000015,7.213500000000002,42.0105,0.052500000000000005,0.063,12.9675,14.175,100838.1834375,80,state_2,store_type_1,locality_1,0.05931623566136768,0.021612610768285908,-0.033033956273570975,5.0295000000000005,8.022,39.2805,0.0105,0.042,12.7365,13.5555,86348.7390625,0.93,0.58,1
86,state_4,store_type_1,locality_1,0.07538251208588664,0.0383593132677249,-0.02960662770350642,6.4155000000000015,7.213500000000002,42.0105,0.052500000000000005,0.063,12.9675,14.175,100838.1834375,7,state_2,store_type_1,locality_3,0.09360650629404232,0.02170362459953501,-0.01948013762583189,8.106,7.644000000000001,41.1495,0.021,0.052500000000000005,13.839,13.44,158275.48796874998,0.93,0.28,2
161,state_4,store_type_1,locality_1,0.024191260567439032,0.029758239138639956,-0.039899750648903935,7.896,7.2555,37.64250000000001,0.0315,0.021,14.2905,13.524,140779.75328124998,7,state_2,store_type_1,locality_3,0.09360650629404232,0.02170362459953501,-0.01948013762583189,8.106,7.644000000000001,41.1495,0.021,0.052500000000000005,13.839,13.44,158275.48796874998,0.93,0.47,2
104,state_4,store_type_1,locality_3,-0.11349555990863892,-0.12247018783611766,-0.1610470987731174,9.471,9.366,45.95850000000001,1.8165,0.0,11.739,14.4795,105125.19781249999,173,state_1,store_type_1,locality_3,-0.07805644137360856,-0.09369963505677936,-0.17596529964995467,9.051,7.749,46.08450000000001,0.0315,0.021,12.767999999999999,15.162,165443.10015625,0.85,0.86,1
179,state_6,store_type_1,locality_3,-0.08426504914914545,-0.07163485243361277,-0.11006871279066432,7.4865,7.0665,45.70650000000001,0.0,0.0315,12.0855,15.0255,110996.65328125001,173,state_1,store_type_1,locality_3,-0.07805644137360856,-0.09369963505677936,-0.17596529964995467,9.051,7.749,46.08450000000001,0.0315,0.021,12.767999999999999,15.162,165443.10015625,0.92,0.74,1
104,state_4,store_type_1,locality_3,-0.11349555990863892,-0.12247018783611766,-0.1610470987731174,9.471,9.366,45.95850000000001,1.8165,0.0,11.739,14.4795,105125.19781249999,132,state_1,store_type_1,locality_3,-0.022268405541680192,-0.07823302731497228,-0.14857598873886926,9.744,9.891,46.284,0.0,0.042,12.222,15.7395,204143.18921875002,0.83,0.73,2
