testStores,state_test,store_type_test,locality_description_test,dvSalesSum_trend_test,GCs_Total_trend_test,TotNet_trend_test,Income_numPeople_300_399_3km_test,Birthplace_percentPeople_Hon_0002_test,Education_percentPeople_Pers_0015_test,Income_percentPeople_Persons_0001_test,area_site_m2_test,category_net_cat_1_test,Birthplace_percentPeople_Ger_0003_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,dvSalesSum_trend_control,GCs_Total_trend_control,TotNet_trend_control,Income_numPeople_300_399_3km_control,Birthplace_percentPeople_Hon_0002_control,Education_percentPeople_Pers_0015_control,Income_percentPeople_Persons_0001_control,area_site_m2_control,category_net_cat_1_control,Birthplace_percentPeople_Ger_0003_control,storeSales_control,similarity,salesCorrelation,rank
1,state_1,store_type_1,locality_3,-0.0188161321829724,-0.01973249481623229,-0.07297876618392496,1298.9445,0.042,5.292000000000002,9.6075,5960.0,11312.05512820513,0.126,129661.39589743593,79,state_1,store_type_1,locality_3,0.014027457048832792,-0.017889623590336082,-0.0644165901125584,1237.6245,0.0105,5.6385000000000005,9.45,3150.0,9336.938717948717,0.084,132543.12717948714,0.92,0.6,1
1,state_1,store_type_1,locality_3,-0.0188161321829724,-0.01973249481623229,-0.07297876618392496,1298.9445,0.042,5.292000000000002,9.6075,5960.0,11312.05512820513,0.126,129661.39589743593,76,state_1,store_type_1,locality_1,-0.034651078449659416,-0.0249301131937123,-0.08233074955350139,109.326,0.37799999999999995,4.6095,8.883000000000003,7443.0,11085.04794871795,0.084,113552.34538461536,0.91,0.56,2
1,state_1,store_type_1,locality_3,-0.0188161321829724,-0.01973249481623229,-0.07297876618392496,1298.9445,0.042,5.292000000000002,9.6075,5960.0,11312.05512820513,0.126,129661.39589743593,93,state_3,store_type_1,locality_3,-0.005246441363240817,-0.00284267807347649,-0.04065766558886797,2772.546000000001,0.052500000000000005,6.7935,9.2925,3427.0,11671.732820512825,0.1575,125719.07461538461,0.89,0.43,3
2,state_1,store_type_1,locality_3,0.005204906675015719,0.008822585819698192,-0.04297266420830892,730.8105,0.063,6.1530000000000005,6.6255,6388.0,14565.83717948718,0.0,147422.48128205125,185,state_1,store_type_1,locality_3,-0.03506578558528328,-0.03173547120854281,-0.07701764728166237,1906.9155,0.021,7.0245000000000015,7.749,6480.0,15685.16153846154,0.21,181796.40794871797,0.87,0.53,1
2,state_1,store_type_1,locality_3,0.005204906675015719,0.008822585819698192,-0.04297266420830892,730.8105,0.063,6.1530000000000005,6.6255,6388.0,14565.83717948718,0.0,147422.48128205125,105,state_3,store_type_1,locality_3,-0.007265707126992926,0.02123024150558561,-0.030178965476306937,529.116,0.0,4.5675,7.202999999999999,3582.0,5061.789743589743,0.17850000000000002,64690.08897435896,0.84,0.55,2
2,state_1,store_type_1,locality_3,0.005204906675015719,0.008822585819698192,-0.04297266420830892,730.8105,0.063,6.1530000000000005,6.6255,6388.0,14565.83717948718,0.0,147422.48128205125,136,state_2,store_type_1,locality_3,0.010125078457154713,-0.010282268918118677,-0.04487546913954188,2981.958,0.021,6.006,8.620500000000002,4238.0,11175.285128205127,0.1995,145014.3576923077,0.84,0.75,3
13,state_3,store_type_1,locality_1,0.02407624252153351,-0.00244891562016325,-0.0423625129928108,3138.429,0.14700000000000002,5.628000000000001,9.3975,7443.73,10974.81,0.2625,160058.59564102563,136,state_2,store_type_1,locality_3,0.010125078457154713,-0.010282268918118677,-0.04487546913954188,2981.958,0.021,6.006,8.620500000000002,4238.0,11175.285128205127,0.1995,145014.3576923077,0.91,0.75,3
3,state_1,store_type_3,locality_1,0.06824381356884635,0.03626247122026105,0.0025821040639317787,3949.0290000000014,0.1155,4.1370000000000005,9.8175,214.0,2501.628461538461,0.2415,35708.88230769232,110,state_1,store_type_3,locality_1,0.06119029858847092,0.020396727557996156,-0.044597214663441465,3280.0005,0.0945,4.1370000000000005,8.82,200.0,920.3511230769233,0.29400000000000004,34730.8217948718,0.93,0.6,1
3,state_1,store_type_3,locality_1,0.06824381356884635,0.03626247122026105,0.0025821040639317787,3949.0290000000014,0.1155,4.1370000000000005,9.8175,214.0,2501.628461538461,0.2415,35708.88230769232,174,state_3,store_type_3,locality_1,0.061590943908346414,0.06312457607958401,0.01621507758703311,2769.522,0.336,3.423,9.3555,94.0,2681.2441025641024,0.315,46687.8164102564,0.93,0.75,2
3,state_1,store_type_3,locality_1,0.06824381356884635,0.03626247122026105,0.0025821040639317787,3949.0290000000014,0.1155,4.1370000000000005,9.8175,214.0,2501.628461538461,0.2415,35708.88230769232,157,state_3,store_type_1,locality_1,0.07376986401478948,0.014824024483550025,-0.012824260418012434,3451.0980000000004,0.5355000000000001,4.998,9.533999999999999,443.0,6500.917692307694,0.252,142560.54076923078,0.92,0.68,3
