testStores,state_test,store_type_test,locality_description_test,dvSalesSum_trend_test,GCs_Total_trend_test,TotNet_trend_test,Language_numPeople_Speak_0041_test,Language_percentPeople_Speak_0020_test,Age_numPeople_median_10km_test,area_site_m2_test,Birthplace_percentPeople_Canada_P_test,Age_percentPeople_20_29_test,Age_percentPeople_0018_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,dvSalesSum_trend_control,GCs_Total_trend_control,TotNet_trend_control,Language_numPeople_Speak_0041_control,Language_percentPeople_Speak_0020_control,Age_numPeople_median_10km_control,area_site_m2_control,Birthplace_percentPeople_Canada_P_control,Age_percentPeople_20_29_control,Age_percentPeople_0018_control,storeSales_control,similarity,salesCorrelation,rank
12,state_2,store_type_6,locality_1,0.12659154667216901,0.058302953452739725,0.020045560481529282,145.257,0.105,40.74,271.0,0.063,15.7395,13.293,95747.17743589739,154,state_4,store_type_3,locality_1,0.17997889558489003,0.07293049249039463,0.042800478538650655,137.40300000000002,0.084,39.51150000000001,80.0,0.052500000000000005,14.679,13.450500000000002,31597.17564102565,0.95,0.24,1
12,state_2,store_type_6,locality_1,0.12659154667216901,0.058302953452739725,0.020045560481529282,145.257,0.105,40.74,271.0,0.063,15.7395,13.293,95747.17743589739,117,state_2,store_type_3,locality_1,0.09548933921037484,0.038986467031384864,0.012365274239204416,94.227,0.052500000000000005,39.501,112.0,0.063,16.2645,13.040999999999999,37182.5482051282,0.95,0.62,2
39,state_2,store_type_6,locality_1,0.10074191348402196,0.03649886371462041,0.0180179899914783,22.0605,0.07350000000000001,37.17,148.0,0.063,14.405999999999999,12.957,78688.2405128205,25,state_1,store_type_1,locality_1,0.06922961449740228,0.046885886651372166,0.01462696499193683,30.177,0.042,36.2565,0.0,0.063,14.91,13.040999999999999,188772.39333333334,0.97,0.44,1
39,state_2,store_type_6,locality_1,0.10074191348402196,0.03649886371462041,0.0180179899914783,22.0605,0.07350000000000001,37.17,148.0,0.063,14.405999999999999,12.957,78688.2405128205,195,state_3,store_type_1,locality_1,0.11318209615547835,0.05057111490037602,0.01925928471161531,50.27400000000001,0.105,36.4035,0.0,0.063,15.351,12.558000000000002,122838.00487179484,0.96,0.63,2
45,state_2,store_type_6,locality_1,-0.06663371704185539,-0.09235395189003437,-0.15259699981955155,43.659,0.35700000000000004,40.83450000000001,216.0,0.063,14.8365,13.1355,108184.76102564101,11,state_1,store_type_1,locality_1,0.00885465127551188,-0.0061380184389057115,-0.05840612130961576,7.213500000000002,0.3675,40.5615,1946.0,0.021,12.3165,13.062000000000001,117453.52692307692,0.85,0.22,1
145,state_2,store_type_6,locality_3,-0.020702201996323995,-0.10420070626680022,-0.1709283361161832,43.8375,0.3675,40.86600000000001,216.0,0.063,14.763000000000002,13.125,144429.09,11,state_1,store_type_1,locality_1,0.00885465127551188,-0.0061380184389057115,-0.05840612130961576,7.213500000000002,0.3675,40.5615,1946.0,0.021,12.3165,13.062000000000001,117453.52692307692,0.86,0.19,1
151,state_2,store_type_6,locality_1,0.027413001296151984,-0.01788979313806338,-0.07068671759479017,117.432,0.3675,36.2775,220.0,0.063,14.238,12.978,141066.70256410257,11,state_1,store_type_1,locality_1,0.00885465127551188,-0.0061380184389057115,-0.05840612130961576,7.213500000000002,0.3675,40.5615,1946.0,0.021,12.3165,13.062000000000001,117453.52692307692,0.91,0.34,1
45,state_2,store_type_6,locality_1,-0.06663371704185539,-0.09235395189003437,-0.15259699981955155,43.659,0.35700000000000004,40.83450000000001,216.0,0.063,14.8365,13.1355,108184.76102564101,98,state_5,store_type_2,locality_1,-0.09361539529039176,-0.11752109837511028,-0.1753664594626302,21.566999999999997,0.1575,37.7475,238.0,0.14700000000000002,15.5295,11.718,65033.867179487184,0.85,0.6,2
145,state_2,store_type_6,locality_3,-0.020702201996323995,-0.10420070626680022,-0.1709283361161832,43.8375,0.3675,40.86600000000001,216.0,0.063,14.763000000000002,13.125,144429.09,98,state_5,store_type_2,locality_1,-0.09361539529039176,-0.11752109837511028,-0.1753664594626302,21.566999999999997,0.1575,37.7475,238.0,0.14700000000000002,15.5295,11.718,65033.867179487184,0.84,0.8,2
56,state_2,store_type_6,locality_1,0.024291857423053956,-0.012890798636835177,-0.054995856156497165,0.39899999999999997,0.0,35.994,0.0,0.021,14.952000000000002,11.8125,132673.34999999995,126,state_1,store_type_1,locality_1,0.08794451914492463,-0.05624410191884255,-0.07356498754144157,53.361,0.0105,37.317,0.0,0.021,14.9835,12.579,142709.158974359,0.93,0.38,1
