storeID,wkEndDate,TotNet
77,2018-09-16,173891.7
128,2018-09-16,95305.38
113,2018-09-16,137333.05
15,2018-09-16,85293.81
72,2018-09-16,98033.66
92,2018-09-16,158605.74
116,2018-09-16,94668.17
175,2018-09-16,144911.6
29,2018-09-16,181049.17
86,2018-09-16,102276.05
26,2018-09-16,284001.89
99,2018-09-16,145808.74
177,2018-09-16,125541.65
157,2018-09-16,166112.56
154,2018-09-16,35166.72
156,2018-09-16,177199.36
131,2018-09-16,170879.78
143,2018-09-16,82832.84
191,2018-09-16,181780.82
62,2018-09-16,131658.43
188,2018-09-16,26856.05
125,2018-09-16,173307.3
52,2018-09-16,184697.89
200,2018-09-16,169132.35
59,2018-09-16,62338.0
7,2018-09-16,165831.9
170,2018-09-16,144614.17
56,2018-09-16,127891.35
80,2018-09-16,86411.63
47,2018-09-16,191925.35
174,2018-09-16,45014.07
89,2018-09-16,141201.24
20,2018-09-16,186943.67
181,2018-09-16,62073.99
168,2018-09-16,140570.48
160,2018-09-16,60195.21
146,2018-09-16,90293.83
127,2018-09-16,37693.92
13,2018-09-16,173001.09
183,2018-09-16,199895.08
185,2018-09-16,185665.61
178,2018-09-16,97891.09
6,2018-09-16,100721.17
167,2018-09-16,152769.44
39,2018-09-16,92146.18
159,2018-09-16,122458.99
169,2018-09-16,78133.77
120,2018-09-16,145317.54
176,2018-09-16,84055.58
57,2018-09-16,76197.62
53,2018-09-16,138416.68
68,2018-09-16,144123.99
58,2018-09-16,59148.55
145,2018-09-16,124208.02
74,2018-09-16,187549.44
186,2018-09-16,134157.09
199,2018-09-16,143950.84
35,2018-09-16,100835.15
50,2018-09-16,97843.87
32,2018-09-16,106948.55
14,2018-09-16,120289.95
84,2018-09-16,121743.72
17,2018-09-16,118093.78
165,2018-09-16,188166.38
73,2018-09-16,168781.53
133,2018-09-16,84585.55
171,2018-09-16,137944.55
27,2018-09-16,139297.59
187,2018-09-16,119647.37
137,2018-09-16,96395.26
28,2018-09-16,254236.69
148,2018-09-16,126335.17
153,2018-09-16,109756.33
111,2018-09-16,145714.63
93,2018-09-16,134788.93
161,2018-09-16,144432.21
19,2018-09-16,174175.59
85,2018-09-16,48298.49
100,2018-09-16,88474.69
163,2018-09-16,84547.07
136,2018-09-16,149147.3
110,2018-09-16,28767.61
138,2018-09-16,144812.18
95,2018-09-16,44938.57
126,2018-09-16,146452.24
12,2018-09-16,95380.79
37,2018-09-16,152708.64
158,2018-09-16,120975.17
25,2018-09-16,198936.63
152,2018-09-16,173886.03
63,2018-09-16,125345.13
115,2018-09-16,163808.17
192,2018-09-16,139989.3
9,2018-09-16,188646.35
112,2018-09-16,195472.69
83,2018-09-16,119940.51
2,2018-09-16,150238.96
43,2018-09-16,131784.02
90,2018-09-16,124315.6
45,2018-09-16,92854.26
1,2018-09-16,140976.41
24,2018-09-16,95913.34
121,2018-09-16,157463.72
101,2018-09-16,168130.66
162,2018-09-16,131713.98
142,2018-09-16,158849.44
193,2018-09-16,38199.14
107,2018-09-16,156286.42
30,2018-09-16,105663.67
18,2018-09-16,97256.65
198,2018-09-16,94361.28
41,2018-09-16,154940.7
104,2018-09-16,103084.37
94,2018-09-16,152569.23
79,2018-09-16,137204.24
22,2018-09-16,169284.3
55,2018-09-16,44336.33
119,2018-09-16,32084.72
141,2018-09-16,165158.16
81,2018-09-16,70973.64
66,2018-09-16,121418.8
194,2018-09-16,113887.63
11,2018-09-16,124061.72
44,2018-09-16,76804.36
60,2018-09-16,38164.93
135,2018-09-16,34749.8
190,2018-09-16,114968.76
122,2018-09-16,147501.99
67,2018-09-16,53252.94
61,2018-09-16,123652.19
109,2018-09-16,130111.58
106,2018-09-16,170651.71
105,2018-09-16,66084.35
40,2018-09-16,145594.41
