trial,variable,effectSize,ratio,alpha,ssStatus,ssAlert,testStores,numTeststores,metric,startDate,endDate,numWeeks,hierarchy,numCategories,numProducts,numProductSelected,extraFeatureShape,extraFeatureFiltered,dataInsufficient,multiCorr,corr,extraDuplicateCols,modelData.shape,features,gain,pvalues,rSquared,rSquaredAdj,mape,mdape,analyseFeatureStatus,afAlert,selectedFeatures,storesWithSettings,numStoresWithSettings,nControls,excludeControls,excludeControls.len,identifyControlStatus,icAlert,prePeriod,postPeriod,metrics,pValue,delta,liftAnalysisStatus,laAlert
trial_93,,,,,,,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191', '192', '193', '194', '195', '196', '197', '198', '199', '200']",200.0,1.0,2019-02-16 00:00:00,2019-11-29 00:00:00,41.0,"{'lvl': '2', 'categories': ['category 8']}",1.0,20.0,20.0,,,,,,,,,,,,,,,local variable 'rSquared' referenced before assignment,"[1293, 'teststore.py']",,,,,,,,,,,,,,,
sample,Gross Sales,10.0,1.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_1,,,,,,,"['3', '10', '6', '4', '18', '24', '34', '37', '40', '42', '55', '44', '57', '59', '60', '67', '80', '81']",18.0,2.0,2019-02-06 00:00:00,2019-11-27 00:00:00,42.0,"{'lvl': '2', 'categories': ['category 8']}",1.0,20.0,20.0,,,,,,,"[18, 118]","[['Birthplace'], ['category 2 Net Sales'], ['Birthplace_country_12'], ['Birthplace_country_21'], ['Birthplace_country_10'], ['Median_age_3km_radius'], ['Age_Group2']]","[[0.3874], [0.2625], [0.2517], [0.0391], [0.0299], [0.0077], [0.0068]]",,0.9999997577708316,0.9999995882104138,0.008672184046985706,0.004605541076581069,Success,,"['Birthplace', 'category 2 Net Sales', 'Birthplace_country_12', 'Birthplace_country_21', 'Birthplace_country_10', 'Median_age_3km_radius', 'Age_Group2']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-4-12', 'endDate': '2019-6-1'}","{'startDate': '2019-9-13', 'endDate': '2019-12-20'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.3163893271255297 0.2565938424119671 0.1427598772201346],[221.66976793215008 -297.36231698444976 712.3261191000983],Success,
hjdahskl,Net Sales,10.0,1.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_2,,,,,,,"['4', '6', '10', '18', '24', '34', '198', '196', '203', '204', '207', '222', '225', '233', '235', '241', '258', '261', '264', '267', '272']",21.0,2.0,2018-04-01 00:00:00,2019-04-01 00:00:00,53.0,"{'lvl': '2', 'categories': ['category 1', 'category 3']}",2.0,40.0,40.0,,,,,,,"[21, 92]","[['category 9 Net Sales'], ['Birthplace_country_2'], ['item 541 Net Sales'], ['Age_Group7'], ['Birthplace_country_15'], ['item 748 Net Sales'], ['Age_Group4']]","[[0.743], [0.1571], [0.016], [0.0159], [0.0129], [0.011], [0.0102]]",,0.9999996802613322,0.9999995080943572,0.002943882398211825,0.0020133441603991066,Success,,"['category 9 Net Sales', 'Birthplace_country_2', 'item 541 Net Sales', 'Age_Group7', 'Birthplace_country_15', 'item 748 Net Sales', 'Age_Group4', 'Median_age_3km_radius', 'Target Sales trend', 'Net Sales trend']","['4' '6' '10' '18' '24' '34' '198' '196' '203' '204' '207' '222' '225'
 '233' '235' '241' '258' '261' '264' '267' '272']",21.0,1.0,,0.0,Success,,"{'startDate': '2019-2-1', 'endDate': '2019-4-7'}","{'startDate': '2019-5-1', 'endDate': '2019-7-14'}","[['Guest Count', 'Net Sales']]",[0.5889084222207682 0.8827216796726165],[-17.676772500638258 -38.578886253458286],Success,
wqewqeqwe,Net Sales,10.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc,Gross Sales,10.0,2.0,2.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample12345,Net Sales,11.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_3,,,,,,,"['3', '4', '6', '10', '18', '24', '34', '37', '40', '42', '67', '60', '59', '80']",14.0,2.0,2019-02-15 00:00:00,2019-12-13 00:00:00,43.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,"[14, 116]","[['item 19 Net Sales'], ['Birthplace_country_10'], ['Children_age_group_1'], ['Birthplace_country_11'], ['Age_Group3'], ['Age_Group5'], ['Age_Group7']]","[[0.5524], [0.1595], [0.1205], [0.0752], [0.0461], [0.0252], [0.0066]]",,0.9999996167482532,0.999999169621215,0.01463471163742006,0.006646693145951239,Success,,"['item 19 Net Sales', 'Birthplace_country_10', 'Children_age_group_1', 'Birthplace_country_11', 'Age_Group3', 'Age_Group5', 'Age_Group7']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-2-9', 'endDate': '2019-5-16'}","{'startDate': '2019-9-8', 'endDate': '2019-12-18'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.5590577762087123 0.7942400263961265 0.3010414801913278],[36.467906987287435 34.00045324798959 -1009.6067681391032],Success,
ieuwrwe,Net Sales,10.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
